 FECHA ; RENOVACION_ESAL ; INSCRIPCION_ACTAS_DOC_ESAL ; CERTIFICADOS_ESAL ; FORMULARIOS_ESAL ; INGRESOS_TOTAL_DIA ; MATRICULAS_ESAL ; MATRICULA_RUP ; INGRESOS_RENOVACIONES ; INGRESOS_CERTIFICADOS ; INGRESOS_EXPEDICION_COPIAS ; INGRESOS_MATRICULAS ; INGRESOS_ESAL ; INSCRIPCION_RUP ; RENOVACION_RUP ; ACTUALIZACION_RUP ; CERTIFICADOS_RUP ; INGRESOS_RUP ; INGRESOS_RUNEOL ; INGRESOS_SERVICIOS_ESPECIALES ; MATRICULA_COMERCIANTE ; RENOVADOS_COMERCIANTE ; RENOVADOS_ESAL ; RENOVADOS_RUP ; CANTIDAD_RENOVACIONES ; CANT_AFIL_FIDELIZADOS ; AFILIADOS_RETIRADOS ; CANT_AFIL_NUEVOS_DESP_CAMP_REN ; CANT_AFIL_NUEVOS_EN_CAMP_REN ; TOTAL_CANT_AFILIADOS ; FORMULARIOS_Y_COPIAS_RUP ; AFIL_INGRESOS_FIDEL ; AFIL_INGRESOS_NUEVOS ; INGRESOS_DERECHOS_DE_I ; INGRESOS_FORMU_DE_REGISTRO_M 
1/01/2018;;;;;;;; $540,778,126 ; $119,192,500 ;; $143,062,000 ; $35,868,000 ;;;;;;$ 738,00;;;;;;;;;;;;;;; $78,484,800.00 ; $23,245,500.00 
2/01/2018;;;;;;;; $945,365,000 ; $107,056,700 ;; $118,430,000 ; $57,141,000 ;;;;;;$ 820,00;;;;;;;;;;;;;;; $73,970,400.00 ; $35,105,000.00 
3/01/2018;;;;;;;; $13,908,285,000 ; $131,707,700 ;; $153,157,000 ; $706,915,000 ;;;;;; $3,362,000 ;;;;;;;;;;;;;;; $106,390,000.00 ; $167,270,900.00 
4/01/2018;;;;;;;; $2,128,100,792 ; $130,084,000 ;; $155,416,000 ; $204,861,000 ;;;;;;$ 943,00;;;;;;;;;;;;;;; $84,137,300.00 ; $48,564,700.00 
5/01/2018;;;;;;;; $1,183,199,000 ; $126,305,400 ;; $170,378,000 ; $66,850,000 ;;;;;;$ 328,00;;;;;;;;;;;;;;; $81,190,600.00 ; $30,728,200.00 
6/01/2018;;;;;;;; $733,230,000 ; $107,490,500 ;; $149,006,000 ; $32,788,000 ;;;;;;$ 256,90;;;;;;;;;;;;;;; $75,132,300.00 ; $29,023,200.00 
7/01/2018;;;;;;;; $578,360,680 ; $120,140,400 ;; $138,092,000 ; $25,834,000 ;;;;;;$ 205,00;;;;;;;;;;;;;;; $77,963,300.00 ; $21,747,000.00 
8/01/2018;;;;;;;; $473,505,361 ; $115,697,400 ;; $128,818,000 ; $32,457,000 ;;;;;;$ 82,00;;;;;;;;;;;;;;; $91,657,500.00 ; $19,071,500.00 
9/01/2018;;;;;;;; $380,697,380 ; $107,651,300 ;; $128,003,000 ; $16,521,000 ;;;;;;$ 246,00;;;;;;;;;;;;;;; $87,973,900.00 ; $16,599,000.00 
10/01/2018;;;;;;;; $329,109,991 ; $120,899,100 ;; $141,043,000 ; $27,017,000 ;;;;;;$ 287,00;;;;;;;;;;;;;;; $95,194,900.00 ; $16,659,500.00 
11/01/2018;;;;;;;; $236,961,270 ; $105,503,700 ;; $118,004,000 ; $23,096,000 ;;;;;;$ 123,00;;;;;;;;;;;;;;; $84,445,900.00 ; $13,029,500.00 
12/01/2018;;;;;;;; $225,683,000 ; $83,516,000 ;; $71,148,000 ; $15,137,000 ;;;;;;$ 123,00;;;;;;;;;;;;;;; $82,549,200.00 ; $8,442,500.00 
1/01/2019; $51,585,000 ; $9,629,800 ; $10,730,000 ; $1,501,900 ; $1,218,092,396 ;49;0; $698,444,620 ; $123,451,900 ;$ 776,62; $157,417,000 ; $73,446,700 ; $9,418,000 ; $3,878,000 ; $9,472,000 ; $20,300,000 ; $43,068,000 ; $1,259,000 ;$ 586,55;1547;3171;177;7;3477;33;0;0;1;34;0; $7,922,800.00 ; $124,100.00 ; $89,332,100.00 ; $30,309,900.00 
2/01/2019; $91,546,000 ; $9,008,400 ; $11,704,400 ; $2,465,000 ; $1,851,079,494 ;44;0; $1,260,303,810 ; $125,638,300 ;$ 984,98; $144,452,000 ; $114,723,800 ; $17,238,000 ; $16,620,000 ; $7,104,000 ; $21,050,000 ; $62,261,400 ; $1,634,000 ;$ 384,00;1460;4859;348;26;5140;78;11;0;27;105;249400; $32,665,900.00 ; $5,275,900.00 ; $100,301,100.00 ; $40,396,100.00 
3/01/2019; $632,963,000 ; $13,123,800 ; $14,993,000 ; $10,213,800 ; $13,133,402,207 ;36;0; $11,766,125,500 ; $133,249,400 ;$ 720,94; $140,114,000 ; $671,293,600 ; $20,530,000 ; $108,030,000 ; $2,368,000 ; $21,900,000 ; $152,828,000 ; $2,494,000 ; $2,258,263 ;1298;23277;1682;134;23682;1098;1;0;27;1125;0; $1,098,474,200.00 ; $9,590,500.00 ; $112,366,200.00 ; $151,952,300.00 
