unique_id,Fecha,auto,auto-lo-95,auto-lo-90,auto-hi-90,auto-hi-95
1,2025-09-30,182252805.74290928,141214577.64121556,147127002.43088737,225764711.11593413,235217112.53886878
1,2025-10-31,180274927.00196275,138926595.4346162,144869482.6357,224333301.35710934,233929646.11198732
1,2025-11-30,171638420.9059409,128593662.8033551,134703771.7644441,218700242.3555077,229091752.18171248
1,2025-12-31,170016096.06616142,127268220.32859,133333865.77772969,216790181.19645795,227122472.89188182
1,2026-01-31,192187324.95136818,142269663.0156771,149317712.365055,247364946.10673496,259619423.34742656
1,2026-02-28,195958846.70480436,144526571.29234818,151776566.3907142,253002624.28539395,265694185.21803722
1,2026-03-31,215077681.47558022,157483589.0443255,165576088.05833402,279378560.1011051,293734790.7145499
1,2026-04-30,203611612.95974106,148357340.63747454,156104117.3207747,265577165.05886236,279444810.4416569
1,2026-05-31,187316997.4981572,135665916.87193596,142888133.1801944,245560332.9037551,258632811.84209442
1,2026-06-30,180581988.19529653,130106486.40359549,137147899.19276592,237771447.12025076,250639728.74810526
1,2026-07-31,210310805.28691992,150690880.47439292,158987470.09244883,278202016.7671911,293518988.54920363
1,2026-08-31,183165378.36289468,130557945.8985561,137861647.22365358,243356702.2189628,256970616.37972206
1,2026-09-30,188742534.2701319,129040382.75881727,137175468.2385919,259694715.82740182,276066634.9641446
1,2026-10-31,192146870.0258764,131144184.39303055,139450103.16793174,264757205.78191257,281525405.2752576
1,2026-11-30,181615321.00030613,121876062.78811252,129948081.1230494,253825408.8631842,270636612.86292744
1,2026-12-31,184175376.59638035,122853088.38131276,131116510.05646096,258705553.78427756,276106769.40522236
