Fecha,ESM,ESM-lo-90,ESM-hi-90,ESM-lo-95,ESM-hi-95
2025-09-30,24233676.354202896,16382989.882060284,32084362.82634551,14879006.438781116,33588346.26962468
2025-10-31,22912893.103299,15062206.631156387,30763579.575441614,13558223.18787722,32267563.01872078
2025-11-30,19261851.779208414,11411165.307065802,27112538.25135103,9907181.863786634,28616521.694630194
2025-12-31,13931653.028950205,6080966.5568075925,21782339.501092818,4576983.113528425,23286322.944371983
2026-01-31,46342603.388165504,38491916.91602289,54193289.86030812,36987933.47274372,55697273.30358729
2026-02-28,70865760.29964198,63015073.82749937,78716446.77178459,61511090.3842202,80220430.21506377
2026-03-31,251516251.22251558,211595619.54798442,291436882.89704674,203947884.62737757,299084617.8176536
2026-04-30,103329968.28376815,95460449.79958387,111199486.76795243,93952858.6419456,112707077.9255907
2026-05-31,47621257.31850432,39659240.88427947,55583273.75272917,38133929.57109915,57108585.06590949
2026-06-30,34298758.181818254,25385299.30266811,43212217.0609684,23677716.835305505,44919799.528331004
2026-07-31,33968378.95780724,25006433.411692634,42930324.50392185,23289562.184093192,44647195.73152129
2026-08-31,28526942.747313052,19534411.639187388,37519473.85543872,17811681.02858606,39242204.466040045
2026-09-30,25910210.7979972,16917679.689871535,34902741.90612286,15194949.079270206,36625472.51672419
2026-10-31,24498053.10680773,15505521.998682069,33490584.214933395,13782791.388080738,35213314.82553472
2026-11-30,20594425.40473275,11601894.296607086,29586956.512858413,9879163.686005756,31309687.12345974
