Fecha,ESM,ESM-lo-90,ESM-hi-90,ESM-lo-95,ESM-hi-95
2025-09-30,25064494.195007276,18432773.49313005,31696214.8968845,17162311.58238291,32966676.80763164
2025-10-31,22965592.610828444,16333871.90895122,29597313.31270567,15063409.998204079,30867775.22345281
2025-11-30,19353876.571167618,12722155.869290393,25985597.273044843,11451693.958543252,27256059.183791984
2025-12-31,14308780.263172515,7677059.5612952905,20940500.96504974,6406597.650548149,22210962.87579688
2026-01-31,43790212.865258604,37158492.16338138,50421933.567135826,35888030.25263424,51692395.47788297
2026-02-28,67550426.27425785,60918705.57238063,74182146.97613508,59648243.66163349,75452608.88688222
2026-03-31,233583807.99843138,211983893.95886016,255183722.0380026,207845922.94103372,259321693.05582905
2026-04-30,96370154.60715088,89731299.59770948,103009009.61659229,88459470.94272998,104280838.27157179
2026-05-31,46177220.77463902,39504961.88133566,52849479.667942375,38226733.92758811,54127707.62168992
2026-06-30,34405788.01426897,27347750.74707425,41463825.2814637,25995617.88205982,42815958.146478124
2026-07-31,33544682.285178725,26465023.92884054,40624340.64151691,25108749.036219634,41980615.534137815
2026-08-31,29562609.514906824,22468057.616849534,36657161.41296411,21108929.516393006,38016289.51342064
2026-09-30,26469693.35986366,19375141.46180637,33564245.25792095,18016013.361349843,34923373.35837748
2026-10-31,24253120.350510355,17158568.452453062,31347672.24856765,15799440.351996535,32706800.349024177
2026-11-30,20438919.460241977,13344367.562184686,27533471.35829927,11985239.461728157,28892599.4587558
