Fecha,ESM,ESM-lo-90,ESM-hi-90,ESM-lo-95,ESM-hi-95
2025-09-30,110768997.15392415,77426362.24810363,144111632.05974466,71038797.15661809,150499197.15123022
2025-10-31,90052975.8588379,56710340.953017384,123395610.76465842,50322775.86153183,129783175.85614398
2025-11-30,97454689.67115866,64112054.76533814,130797324.57697918,57724489.673852585,137184889.66846472
2025-12-31,48040020.62109915,14697385.715278637,81382655.52691966,8309820.62379308,87770220.61840522
2026-01-31,80941716.04089953,47599081.13507901,114284350.94672005,41211516.04359346,120671916.0382056
2026-02-28,113699392.63773018,80356757.73190966,147042027.5435507,73969192.6404241,153429592.63503626
2026-03-31,301096329.55404305,228414725.10211712,373777934.005969,214490856.13670313,387701802.971383
2026-04-30,1495813129.3676376,1462383734.402423,1529242524.3328524,1455979548.3831587,1535646710.3521166
2026-05-31,163951244.03983665,130462810.26057427,197439677.819099,124047313.96937981,203855174.11029348
2026-06-30,135861472.8682349,97331720.5573429,174391225.17912692,89950441.2571375,181772504.4793323
2026-07-31,133236311.51475808,94571300.78833148,171901322.24118468,87164109.56077427,179308513.4687419
2026-08-31,123769038.77001649,85000617.22715987,162537460.31287313,77573615.22810915,169964462.31192383
2026-09-30,131855940.34993094,93087518.80707432,170624361.89278758,85660516.8080236,178051363.89183828
2026-10-31,107196238.28205839,68427816.73920177,145964659.824915,61000814.74015104,153391661.82396573
2026-11-30,116007006.2767206,77238584.73386398,154775427.81957722,69811582.73481324,162202429.81862795
